"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"10/20/08","Acton","California","suburban","HS",1,2,34.4956,-118.1857
"10/21/08","Indianapolis","Indiana","urban","HS",1,2,39.7771,-86.1458
"10/26/08","Conway","Arkansas","suburban","C",2,1,35.0754,-92.4694
"10/31/08","Stockton Springs","Maine","suburban","ES",0,0,44.487926, -68.852895
"11/13/08","Fort Lauderdale","Florida","urban","HS",1,0,26.1412,-80.1464
"11/15/08","St. George","Utah","urban","HS",1,2,37.077,-113.577
"11/21/08","Savannah","Georgia","urban","C",0,0,32.0281,-81.1784
"1/8/09","New Castle","Delaware","suburban","HS",0,0,39.6685,-75.5692
"1/9/09","Chicago","Illinois","urban","HS",0,5,41.8373,-87.6862
"1/23/09","Cahokia","Illinois","suburban","HS",1,2,38.5649,-90.1792
"2/7/09","Houston","Texas","urban","C",1,2,29.7863,-95.3889
"2/11/09","El Monte","California","urban","ES",0,0,34.0739,-118.0291
"2/17/09","Detroit","Michigan","urban","HS",0,0,42.3834,-83.1024
"3/6/09","Fayetteville","North Carolina","urban","HS",0,0,35.0846,-78.9776
"3/10/09","Jacksonville","Florida","urban","HS",2,4,30.3322,-81.6749
"4/10/09","Dearborn","Michigan","urban","C",1,2,42.3127,-83.2129
"4/24/09","Houston","Texas","urban","C",1,2,29.7863,-95.3889
"4/26/09","Hampton","Virginia","urban","C",0,3,37.0551,-76.363
"5/1/09","Sheboygan","Wisconsin","urban","HS",0,0,43.7403,-87.7316
"5/5/09","Canandaigua","New York","suburban","HS",0,0,42.889588, -77.283486
"5/18/09","Larose","Louisiana","urban","MS",0,0,29.5669,-90.3751
"5/18/09","Cambridge","Massachusetts","urban","C",1,0,42.3759,-71.1185
"5/18/09","Larose","Louisiana","suburban","MS",1,0,29.5669,-90.3751
"6/9/09","Lexington","Kentucky","urban","MS",1,2,38.0423,-84.4587
"6/16/09","San Francisco","California","urban","HS",0,3,37.7562,-122.443
"6/24/09","Parkersburg","Iowa","suburban","HS",1,2,42.5739,-92.7785
"9/2/09","San Bruno","California","suburban","C",0,0,37.6254,-122.4313
"9/3/09","Atlanta","Georgia","urban","C",1,2,33.7627,-84.4224
"9/3/09","San Bruno","California","suburban","C",0,1,37.6254,-122.4313
"9/8/09","Stamford","Connecticut","urban","HS",0,0,41.1035,-73.5583
"9/14/09","Grand Rapids","Michigan","urban","HS",0,0,42.962,-85.6562
"9/16/09","Henrico","Virginia","urban","HS",0,0,37.629196, -77.547172
"10/16/09","Carolina Forest","South Carolina","suburban","HS",1,2,33.779038, -78.970885
"10/16/09","Conway","South Carolina","suburban","HS",1,0,33.8399,-79.0424
"10/30/09","Long Beach","California","urban","HS",1,2,33.7981,-118.1675
"11/16/09","Dallas","Texas","urban","ES",0,0,32.7936,-96.7662
"12/2/09","Brockton","Massachusetts","urban","HS",0,0,42.0821,-71.0242
"12/8/09","Woodbridge","Virginia","urban","C",0,0,38.6569,-77.2403
"12/11/09","Shreveport","Louisiana","urban","HS",0,0,32.4656,-93.7956
"1/7/10","Phoenix","Arizona","urban","HS",0,0,33.5722,-112.0891
"1/20/10","Livingston","Alabama","suburban","HS",1,2,32.5982,-88.1891
"2/5/10","Madison","Alabama","urban","MS",1,0,34.7114,-86.7626
"2/10/10","Knoxville","Tennessee","urban","ES",0,0,35.9692,-83.9496
"2/12/10","Huntsville","Alabama","urban","C",3,3,34.6988,-86.6412
"2/19/10","DeKalb","Illinois","suburban","C",0,1,41.9313,-88.7482
"2/23/10","Littleton","Colorado","suburban","MS",0,2,39.5915,-105.0188
